date,value,source
1990-01-23,17.5,RBA
1990-02-15,17.0,RBA
1990-04-04,15.5,RBA
1990-08-02,14.0,RBA
1990-10-15,13.0,RBA
1990-12-18,12.0,RBA
1991-04-04,11.5,RBA
1991-05-16,10.5,RBA
1991-09-03,9.5,RBA
1991-11-06,8.5,RBA
1992-01-08,7.5,RBA
1992-05-06,6.5,RBA
1992-07-08,5.75,RBA
1993-03-23,5.25,RBA
1993-07-30,4.75,RBA
1994-08-17,5.5,RBA
1994-10-24,6.5,RBA
1994-12-14,7.5,RBA
1996-07-31,7.0,RBA
1996-11-06,6.5,RBA
1996-12-11,6.0,RBA
1997-05-23,5.5,RBA
1997-07-30,5.0,RBA
1997-10-01,5.0,RBA
1998-12-02,4.75,RBA
1999-11-03,5.0,RBA
2000-02-02,5.5,RBA
2000-04-05,5.75,RBA
2000-05-03,6.0,RBA
2000-08-02,6.25,RBA
2001-02-07,5.75,RBA
2001-03-07,5.5,RBA
2001-04-04,5.0,RBA
2001-09-05,4.75,RBA
2001-10-03,4.5,RBA
2001-12-05,4.25,RBA
2002-05-08,4.5,RBA
2002-06-05,4.75,RBA
2003-11-05,5.0,RBA
2003-12-03,5.25,RBA
2005-03-02,5.5,RBA
2006-05-03,5.75,RBA
2006-08-02,6.0,RBA
2006-11-08,6.25,RBA
2007-08-08,6.5,RBA
2007-11-07,6.75,RBA
2008-02-06,7.0,RBA
2008-03-05,7.25,RBA
2008-09-03,7.0,RBA
2008-10-08,6.0,RBA
2008-11-05,5.25,RBA
2008-12-03,4.25,RBA
2009-02-04,3.25,RBA
2009-04-08,3.0,RBA
2009-10-07,3.25,RBA
2009-11-04,3.5,RBA
2009-12-02,3.75,RBA
2010-03-03,4.0,RBA
2010-04-07,4.25,RBA
2010-05-05,4.5,RBA
2010-11-03,4.75,RBA
2011-11-02,4.5,RBA
2011-12-07,4.25,RBA
2012-05-02,3.75,RBA
2012-06-06,3.5,RBA
2012-10-03,3.25,RBA
2012-12-05,3.0,RBA
2013-05-08,2.75,RBA
2013-08-07,2.5,RBA
2015-02-04,2.25,RBA
2015-05-06,2.0,RBA
2016-05-04,1.75,RBA
2016-08-03,1.5,RBA
2019-06-05,1.25,RBA
2019-07-03,1.0,RBA
2019-10-02,0.75,RBA
2020-03-04,0.5,RBA
2020-03-20,0.25,RBA
2020-11-04,0.1,RBA
2022-05-04,0.35,RBA
2022-06-08,0.85,RBA
2022-07-06,1.35,RBA
2022-08-03,1.85,RBA
2022-09-07,2.35,RBA
2022-10-05,2.6,RBA
2022-11-02,2.85,RBA
2022-12-07,3.1,RBA
2023-02-08,3.35,RBA
2023-03-08,3.6,RBA
2023-05-03,3.85,RBA
2023-06-07,4.1,RBA
2023-11-08,4.35,RBA
2025-02-19,4.1,RBA
2025-05-21,3.85,RBA
2025-08-13,3.6,RBA
2026-02-04,3.85,RBA
2026-03-18,4.1,RBA
